candidate_path,line,code_reference
src/PDSMCFinal.c,587,"fp=fopen(""Grid.plt"",""wt"");"
src/PDSMCFinal.c,1237,"fp=fopen(""SUB 0.xls"",""wt"");"
src/PDSMCFinal.c,1240,"fp=fopen(""SUB 1.xls"",""wt"");"
src/PDSMCFinal.c,1242,"fp=fopen(""SUB 2.xls"",""wt"");"
src/PDSMCFinal.c,1244,"fp=fopen(""SUB 3.xls"",""wt"");"
src/PDSMCFinal.c,1246,"fp=fopen(""SUB 4.xls"",""wt"");"
src/PDSMCFinal.c,1248,"fp=fopen(""SUB 5.xls"",""wt"");"
src/PDSMCFinal.c,1250,"fp=fopen(""SUB 6.xls"",""wt"");"
src/PDSMCFinal.c,1252,"fp=fopen(""SUB 7.xls"",""wt"");"
src/PDSMCFinal.c,1254,"//OPEN (4,FILE='SUB.xls')"
